Indexing events with TwoPass using cutoff of 5

	Computing event counts...  done. 1007636 events
	Indexing...  done.
Sorting and merging events... done. Reduced 1007636 events to 905436.
Done indexing in 15,11 s.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 905436
	    Number of Outcomes: 42
	  Number of Predicates: 104938
...done.
Computing model parameters ...
Performing 100 iterations.
  1:  ... loglikelihood=-3766210.463528782	0.20074411791559651
  2:  ... loglikelihood=-1741491.6968393517	0.8487330742450647
  3:  ... loglikelihood=-1060529.5213531686	0.9077146906224073
  4:  ... loglikelihood=-758675.9160208083	0.9301067051990997
  5:  ... loglikelihood=-596788.8056836382	0.9400845146461619
  6:  ... loglikelihood=-497769.6447537548	0.9460727881893859
  7:  ... loglikelihood=-431291.12894553295	0.950139732998821
  8:  ... loglikelihood=-383549.9553517133	0.9534653386738862
  9:  ... loglikelihood=-347505.7770893021	0.9563195439623039
 10:  ... loglikelihood=-319234.20497166534	0.9586328793334101
 11:  ... loglikelihood=-296388.54602106987	0.960739790956258
 12:  ... loglikelihood=-277483.8136473199	0.9626611196900468
 13:  ... loglikelihood=-261535.76672836574	0.9641844872553184
 14:  ... loglikelihood=-247866.48109025613	0.9656433473992593
 15:  ... loglikelihood=-235993.65133014452	0.9669215867634741
 16:  ... loglikelihood=-225564.546908395	0.968050962847695
 17:  ... loglikelihood=-216315.00703946027	0.969102930026319
 18:  ... loglikelihood=-208043.08916506608	0.9700238975185483
 19:  ... loglikelihood=-200591.6144938711	0.9708644788395809
 20:  ... loglikelihood=-193836.2931511165	0.9717159768011464
 21:  ... loglikelihood=-187677.45124641617	0.9724642628885828
 22:  ... loglikelihood=-182034.1438931342	0.9731698748357542
 23:  ... loglikelihood=-176839.88612944252	0.9738754867829256
 24:  ... loglikelihood=-172039.50595532224	0.974440174825036
 25:  ... loglikelihood=-167586.79232006063	0.9750108173983463
 26:  ... loglikelihood=-163442.7147958296	0.975534816143925
 27:  ... loglikelihood=-159574.05780045968	0.9759823984057735
 28:  ... loglikelihood=-155952.35856696038	0.9764270034020222
 29:  ... loglikelihood=-152553.07146923174	0.9768884795700035
 30:  ... loglikelihood=-149354.90402115352	0.9773191906601193
 31:  ... loglikelihood=-146339.28479602025	0.9777062351881036
 32:  ... loglikelihood=-143489.93367453036	0.9781151129971537
 33:  ... loglikelihood=-140792.51210070282	0.9784376501038073
 34:  ... loglikelihood=-138234.33637836765	0.9787532402573945
 35:  ... loglikelihood=-135804.14102286974	0.9790946333795141
 36:  ... loglikelihood=-133491.88215947305	0.9793794584552358
 37:  ... loglikelihood=-131288.57319596555	0.9796583289997578
 38:  ... loglikelihood=-129186.14668731693	0.9799570479816124
 39:  ... loglikelihood=-127177.33759593015	0.9802081307138689
 40:  ... loglikelihood=-125255.58413791198	0.9804800543053246
 41:  ... loglikelihood=-123414.94316791132	0.9807122810221152
 42:  ... loglikelihood=-121650.01764909399	0.9809534395357054
 43:  ... loglikelihood=-119955.89422064695	0.9811797117212961
 44:  ... loglikelihood=-118328.08924343958	0.9814169005474199
 45:  ... loglikelihood=-116762.50199687303	0.9816173697644784
 46:  ... loglikelihood=-115255.37393431527	0.9818486040594024
 47:  ... loglikelihood=-113803.25309284673	0.9820391490577947
 48:  ... loglikelihood=-112402.96290518164	0.9822525197591193
 49:  ... loglikelihood=-111051.57478585158	0.9824122996796463
 50:  ... loglikelihood=-109746.38396453332	0.9826028446780385
 51:  ... loglikelihood=-108484.88812296736	0.9827745336609649
 52:  ... loglikelihood=-107264.76845991136	0.9829541620188242
 53:  ... loglikelihood=-106083.87286569702	0.9831129495174845
 54:  ... loglikelihood=-104940.20093510342	0.9832558582662787
 55:  ... loglikelihood=-103831.8905864356	0.9833838806870735
 56:  ... loglikelihood=-102757.20608806354	0.9835277818577344
 57:  ... loglikelihood=-101714.52732136183	0.9836528270129292
 58:  ... loglikelihood=-100702.34013231333	0.9837610009963915
 59:  ... loglikelihood=-99719.22764436126	0.9838989476358526
 60:  ... loglikelihood=-98763.86242157484	0.9840289549003807
 61:  ... loglikelihood=-97834.99938587843	0.9841430834150428
 62:  ... loglikelihood=-96931.46940439085	0.9842919466950367
 63:  ... loglikelihood=-96052.17347352767	0.9844150070064984
 64:  ... loglikelihood=-95196.07743547179	0.9845370748960934
 65:  ... loglikelihood=-94362.2071706694	0.9846541806763554
 66:  ... loglikelihood=-93549.64421670207	0.9847762485659504
 67:  ... loglikelihood=-92757.52176964868	0.9848814452838128
 68:  ... loglikelihood=-91985.02102930487	0.9849846571579419
 69:  ... loglikelihood=-91231.36785404444	0.985074967547805
 70:  ... loglikelihood=-90495.82969486172	0.9851761945782008
 71:  ... loglikelihood=-89777.71278158558	0.9852595580149974
 72:  ... loglikelihood=-89076.35953730407	0.9853478835611272
 73:  ... loglikelihood=-88391.14619952637	0.9854342242635238
 74:  ... loglikelihood=-87721.48062880723	0.985534458872053
 75:  ... loglikelihood=-87066.80028789092	0.9856128601995164
 76:  ... loglikelihood=-86426.57037586949	0.9856803448864471
 77:  ... loglikelihood=-85800.28210356599	0.9857706552763101
 78:  ... loglikelihood=-85187.45109783698	0.9858500490256402
 79:  ... loglikelihood=-84587.61592352107	0.9859344048843035
 80:  ... loglikelihood=-84000.3367129898	0.9859999047275008
 81:  ... loglikelihood=-83425.19389428987	0.9860663969925648
 82:  ... loglikelihood=-82861.78700946401	0.9861547225386945
 83:  ... loglikelihood=-82309.73361583802	0.9862311390224248
 84:  ... loglikelihood=-81768.66826331319	0.986307555506155
 85:  ... loglikelihood=-81238.24154165728	0.9863780174586855
 86:  ... loglikelihood=-80718.11919214687	0.9864395476144163
 87:  ... loglikelihood=-80207.98127854364	0.98651199441068
 88:  ... loglikelihood=-79707.52141275974	0.9865894033162769
 89:  ... loglikelihood=-79216.44603097143	0.9866598652688073
 90:  ... loglikelihood=-78734.47371639006	0.9867184181589383
 91:  ... loglikelihood=-78261.33456514777	0.9867799483146692
 92:  ... loglikelihood=-77796.76959206385	0.9868226224549341
 93:  ... loglikelihood=-77340.53017342277	0.9868752208138654
 94:  ... loglikelihood=-76892.3775239678	0.9869427055007959
 95:  ... loglikelihood=-76452.08220575271	0.9870151522970596
 96:  ... loglikelihood=-76019.42366650411	0.987080652140257
 97:  ... loglikelihood=-75594.1898054557	0.9871183641711888
 98:  ... loglikelihood=-75176.1765647047	0.98717096253012
 99:  ... loglikelihood=-74765.1875444372	0.9872225684671846
100:  ... loglikelihood=-74361.03364018173	0.987261272919983
