Indexing events with TwoPass using cutoff of 5

	Computing event counts...  done. 1007707 events
	Indexing...  done.
Sorting and merging events... done. Reduced 1007707 events to 904981.
Done indexing in 37,85 s.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 904981
	    Number of Outcomes: 18
	  Number of Predicates: 104449
...done.
Computing model parameters ...
Performing 100 iterations.
  1:  ... loglikelihood=-2912647.8530342975	0.19050378731119263
  2:  ... loglikelihood=-1353724.544521424	0.8692268685242833
  3:  ... loglikelihood=-849436.7379764097	0.915019941312306
  4:  ... loglikelihood=-623908.7094751755	0.9355388024495216
  5:  ... loglikelihood=-500075.45904314384	0.9440611209409084
  6:  ... loglikelihood=-422684.677533174	0.948953416022713
  7:  ... loglikelihood=-369841.1517338745	0.9523293973347412
  8:  ... loglikelihood=-331394.8361651304	0.954979969376019
  9:  ... loglikelihood=-302075.5564886646	0.9572703176617806
 10:  ... loglikelihood=-278898.10725733865	0.9592183045270103
 11:  ... loglikelihood=-260052.30082403612	0.960969805707413
 12:  ... loglikelihood=-244379.16269992155	0.9625734464482235
 13:  ... loglikelihood=-231103.0331980117	0.9639677009289407
 14:  ... loglikelihood=-219685.26877124133	0.9652379114167114
 15:  ... loglikelihood=-209739.96145343056	0.9664525501956421
 16:  ... loglikelihood=-200983.15874814105	0.9674647491780844
 17:  ... loglikelihood=-193201.05372734988	0.9684213764516868
 18:  ... loglikelihood=-186229.3816691164	0.9692926614581421
 19:  ... loglikelihood=-179939.70424084732	0.9700865430129988
 20:  ... loglikelihood=-174230.04590677714	0.970858592825097
 21:  ... loglikelihood=-169018.3384038632	0.971559193297258
 22:  ... loglikelihood=-164237.72904815635	0.9721734591503284
 23:  ... loglikelihood=-159833.16206139047	0.9727748244281323
 24:  ... loglikelihood=-155758.84784101995	0.973386113225372
 25:  ... loglikelihood=-151976.36193907916	0.9739070979957468
 26:  ... loglikelihood=-148453.19757282475	0.974434036877783
 27:  ... loglikelihood=-145161.64965219534	0.9748915111237691
 28:  ... loglikelihood=-142077.9445298417	0.9753529547775296
 29:  ... loglikelihood=-139181.5542523111	0.9757677578899422
 30:  ... loglikelihood=-136454.65100791858	0.9761766068906934
 31:  ... loglikelihood=-133881.66927831268	0.9765487388695325
 32:  ... loglikelihood=-131448.95155619903	0.9768960620497823
 33:  ... loglikelihood=-129144.45948397223	0.9772443775819757
 34:  ... loglikelihood=-126957.53662821607	0.9775470449247649
 35:  ... loglikelihood=-124878.71232444867	0.9778715440103125
 36:  ... loglikelihood=-122899.53843306992	0.9781494025545123
 37:  ... loglikelihood=-121012.45266137707	0.9784371846181479
 38:  ... loglikelihood=-119210.66348298284	0.9786912267157021
 39:  ... loglikelihood=-117488.05273400385	0.9789313758860463
 40:  ... loglikelihood=-115839.09276929553	0.9792062573744154
 41:  ... loglikelihood=-114258.7756814728	0.9794831235666717
